runId,reqId,mode,pipeline,provider,model,repeatIndex,promptVersion,testId,title,gherkin,rationale,usedSourceIds,usedContextItems,evidenceSources,targetTitle,targetBody,evidenceText,generationSummary,resolvedOperativeContext,resolvedExceptions,resolvedConflictsOrObsolete,resolvedGapsOrUncertainties,resolvedEvidenceIds,resolutionNotes,injectedOperativeCount,injectedExceptionsCount,injectedConflictsCount,injectedGapsCount
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_1,Test consistent identifier usage in user profiles,"Feature: Identifier consistency in user profiles
  Scenario: User profile identifiers are consistent
    Given a user profile with identifier 'user123'
    When the user accesses their profile
    Then the identifier should be 'user123' throughout the profile",To ensure that the identifier remains the same when accessed in different parts of the user profile.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_2,Test consistent identifier usage in order processing,"Feature: Identifier consistency in order processing
  Scenario: Order identifiers are consistent
    Given an order with identifier 'order456'
    When the order is processed
    Then the identifier should be 'order456' in all order-related communications",To verify that the order identifier does not change during processing.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_3,Test consistent identifier usage in product listings,"Feature: Identifier consistency in product listings
  Scenario: Product identifiers are consistent
    Given a product with identifier 'prod789'
    When the product is listed on the website
    Then the identifier should be 'prod789' in all listings",To ensure that the product identifier is consistent across all listings.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_4,Test consistent identifier usage in transaction records,"Feature: Identifier consistency in transaction records
  Scenario: Transaction identifiers are consistent
    Given a transaction with identifier 'trans101'
    When the transaction is recorded
    Then the identifier should be 'trans101' in all transaction logs",To confirm that the transaction identifier remains unchanged in logs.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_5,Test consistent identifier usage in API responses,"Feature: Identifier consistency in API responses
  Scenario: API response identifiers are consistent
    Given an API request for user data with identifier 'apiUser202'
    When the API responds
    Then the identifier should be 'apiUser202' in the response",To ensure that the identifier in the API response matches the request identifier.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_6,Test consistent identifier usage in error messages,"Feature: Identifier consistency in error messages
  Scenario: Error message identifiers are consistent
    Given an error related to identifier 'error303'
    When the error is logged
    Then the identifier should be 'error303' in the error message",To verify that the identifier in error messages is consistent with the error context.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_7,Test consistent identifier usage in notifications,"Feature: Identifier consistency in notifications
  Scenario: Notification identifiers are consistent
    Given a notification with identifier 'notify404'
    When the notification is sent
    Then the identifier should be 'notify404' in the notification content",To ensure that the identifier in notifications remains consistent.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_8,Test consistent identifier usage in reports,"Feature: Identifier consistency in reports
  Scenario: Report identifiers are consistent
    Given a report with identifier 'report505'
    When the report is generated
    Then the identifier should be 'report505' in the report output",To confirm that the report identifier is consistent in the generated output.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_9,Test consistent identifier usage in user settings,"Feature: Identifier consistency in user settings
  Scenario: User settings identifiers are consistent
    Given a user setting with identifier 'setting606'
    When the user accesses their settings
    Then the identifier should be 'setting606' in all settings views",To ensure that the identifier in user settings is consistent across different views.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
92f75d38,R34,hybrid,no_retrieval,openai,gpt-4o-mini,0,2026-07-03.v3,R34_10,Test consistent identifier usage in feedback submissions,"Feature: Identifier consistency in feedback submissions
  Scenario: Feedback identifiers are consistent
    Given a feedback submission with identifier 'feedback707'
    When the feedback is reviewed
    Then the identifier should be 'feedback707' in all feedback records",To verify that the feedback identifier remains consistent in records.,R34,Identifier consistency rule,,Identifier consistency rule,Identifier consistency rule,NO_EVIDENCE,Tests for the identifier consistency rule to ensure that identifiers are used consistently throughout the system.,,,,,,,0,0,0,0
